# af-usage.md が guide/ref/features.ja.md のメンバー向けの行を覆っているかの台帳。
#
# 1 行 = 機能カタログの 1 行。右は af-usage.md の章番号（`## N.`）か、
# `-` ＋ 案内しない理由。scripts/docs-check.py の knowledge 検査が読む。
# カタログに行が増えると、ここに書くまで CI が赤くなる —— それがこの台帳の全部である。
#
# ⚠️ ここは「覆ったつもり」の記録に過ぎない。章番号が在ることは検査できるが、
# その章の記述が正しいことは検査できない。正は guide/member/ と guide/ref/。

セッションの起動（エージェント・モデル・effort・開始モード）	4
新しい git worktree で動かす	4
チャットミラー — 実行中のエージェントを追う・操縦する	4
質問・プラン・権限確認に答える	4
スキル / コマンドのピッカー	4
セッションに繋がった実端末	1
端末の往復時間（打鍵の遅れ）	1
停止したセッションの再開	4
会話を新しいセッションへ引き継ぐ	4
過去の発言からの分岐	4
別メンバーへセッションを引き継ぐ	4
セッションの読み取り共有	4
マーカー	4
変更ファイル	4
コンテキスト使用量ゲージ	3
中断の検知と自動再開	6
リポジトリの取り込み	2
空のフォルダから始める	2
コミットグラフ・差分・ステージ・コミット	2
worktree	1
ファイルツリーとビューア	2
Markdown / コードの編集	2
`.drawio` の図	2
PDF・Office 文書のプレビュー	2
ローカル Web アプリのブラウザペイン	10
エージェントが持つ Chromium への接続	7
プレビュー用サブドメイン（起動ごとに発行）	10
作業グループ	2
メモキュー	5
作業項目の受信箱（Issue / チケット / プルリクエスト）	2
定時実行（無人実行）	6
通知センター	2
アシスタントチャット	5
チャットブリッジ（Discord / Slack）	8
返信候補	8
キーボード操作体系	2
音声読み上げ	8
エージェントの接続	3
エージェントへの指示	3
エージェントメモリの管理	8
Git ホスティングの接続	8
内部リポジトリ	8
AWS SSM	8
連携サーバーとトークン	7
課題管理の接続	8
使用量	8
クラウド費用	8
表示・言語・キー操作	8
設定の書き出し / 取り込み	8
ツールチェーン	8
危険な操作	9
削除ロック	4
掃除とごみ箱	4
